,index,age,marital,education,balance,loan,previous,y
74,83,59,married,secondary,2343,no,0,yes
77,86,56,married,secondary,45,no,0,yes
78,87,41,married,secondary,1270,no,0,yes
117,129,55,married,secondary,2476,no,0,yes
151,168,54,married,tertiary,184,no,0,yes
241,270,42,single,tertiary,0,yes,0,yes
346,388,56,married,tertiary,830,yes,0,yes
347,390,60,divorced,secondary,545,no,0,yes
409,457,37,married,secondary,1,no,0,yes
425,474,34,married,secondary,869,no,0,yes
461,512,55,divorced,secondary,387,no,0,yes
510,569,28,single,secondary,5090,no,0,yes
559,624,30,married,secondary,484,no,0,yes
623,694,36,married,secondary,368,yes,0,yes
767,849,37,single,secondary,245,yes,0,yes
793,877,45,married,secondary,154,no,0,yes
807,891,53,divorced,primary,-291,yes,0,yes
813,897,38,single,secondary,100,no,0,yes
993,1087,30,married,secondary,309,no,0,yes
1026,1124,29,married,tertiary,199,yes,0,yes
1042,1140,46,single,tertiary,460,no,0,yes
1073,1172,31,single,tertiary,703,no,0,yes
1074,1173,39,married,primary,70,no,0,yes
1094,1193,35,divorced,tertiary,3837,no,0,yes
1101,1200,32,single,primary,611,no,0,yes
1145,1247,49,married,secondary,-8,no,0,yes
1170,1273,41,married,secondary,55,no,0,yes
1235,1340,49,divorced,secondary,168,yes,0,yes
1264,1370,28,divorced,secondary,785,no,0,yes
1266,1372,43,single,tertiary,2067,no,0,yes
1307,1416,43,divorced,tertiary,388,no,0,yes
1350,1462,43,married,primary,-192,no,0,yes
1404,1520,37,single,secondary,381,no,0,yes
1528,1646,35,single,secondary,40,no,0,yes
1529,1647,31,single,tertiary,22,no,0,yes
1552,1671,46,married,secondary,332,no,0,yes
1555,1674,43,single,secondary,3,no,0,yes
1569,1688,31,married,secondary,307,no,0,yes
1572,1691,28,single,secondary,759,no,0,yes
1647,1767,32,married,secondary,-1,no,0,yes
1674,1795,60,married,primary,65,no,0,yes
1685,1806,26,single,secondary,82,no,0,yes
1709,1832,40,married,secondary,10,no,0,yes
1726,1850,28,single,secondary,-197,no,0,yes
1739,1863,33,divorced,primary,390,no,0,yes
1921,2053,45,married,primary,101,no,0,yes
1963,2096,32,single,tertiary,311,no,0,yes
2186,2328,35,married,primary,414,no,0,yes
2205,2347,33,divorced,secondary,5,no,0,yes
2235,2377,38,married,tertiary,119,no,0,yes
2245,2387,24,single,secondary,-122,no,0,yes
2246,2388,54,divorced,tertiary,0,no,0,yes
2261,2404,34,divorced,secondary,383,no,0,yes
2323,2474,23,single,primary,4,no,0,yes
2332,2483,60,married,primary,1262,yes,0,yes
2334,2485,48,married,tertiary,1949,no,0,yes
2335,2486,45,divorced,tertiary,-395,no,0,yes
2355,2507,36,married,secondary,1165,no,0,yes
2390,2545,37,divorced,secondary,175,yes,0,yes
2487,2650,46,married,primary,369,no,0,yes
2544,2709,35,divorced,primary,300,no,0,yes
2555,2720,43,married,secondary,3285,no,0,yes
2598,2767,52,married,secondary,3923,no,0,yes
2610,2779,53,divorced,primary,1443,no,0,yes
2629,2799,48,divorced,primary,24,no,0,yes
2651,2821,41,single,primary,1618,no,0,yes
2661,2831,39,divorced,tertiary,517,yes,0,yes
2675,2845,59,married,secondary,1521,yes,0,yes
2694,2865,41,married,secondary,2823,no,0,yes
2699,2870,48,married,secondary,1405,no,0,yes
2710,2882,40,married,secondary,1535,no,0,yes
2725,2897,48,married,secondary,1596,no,0,yes
2756,2929,60,married,primary,1542,no,0,yes
2807,2982,57,married,tertiary,-1,no,0,yes
2829,3004,51,married,secondary,7180,no,0,yes
2965,3145,41,divorced,secondary,5291,no,0,yes
3010,3190,41,married,secondary,1384,no,0,yes
3013,3193,46,married,secondary,556,yes,0,yes
3034,3214,52,divorced,primary,-191,no,0,yes
3112,3294,59,married,primary,320,no,0,yes
3131,3314,49,single,secondary,716,no,0,yes
3140,3324,49,married,primary,341,yes,0,yes
3147,3331,50,married,primary,461,no,0,yes
3185,3371,40,married,primary,-9,no,0,yes
3192,3378,41,married,primary,-306,no,0,yes
3261,3454,44,married,tertiary,4580,no,0,yes
3300,3497,60,single,primary,313,no,0,yes
3303,3500,29,married,tertiary,10576,no,0,yes
3311,3509,41,divorced,primary,-233,no,0,yes
